"generated_at_utc","query","result_url","result_title","result_type","counts_toward_48h_threshold","evidence_status","notes"
"2026-06-12T01:33:00Z","agentsiteops","https://agentsiteops.com/","AgentSiteOps","site_page","no","external_search_result_returned","External web search returned the AgentSiteOps home page. This is discoverability evidence, not click, visit, qualified reply, payment, usable intake, or objection evidence."
"2026-06-12T01:33:00Z","site:agentsiteops.com AgentSiteOps","https://agentsiteops.com/examples/agentsiteops-self-audit/","AgentSiteOps Self-Audit Sample | AgentSiteOps","site_page","no","external_search_result_returned","External web search returned the public self-audit sample."
"2026-06-12T01:33:00Z","site:agentsiteops.com AgentSiteOps","https://agentsiteops.com/disclosure/","Disclosure - AgentSiteOps","trust_page","no","external_search_result_returned","External web search returned a trust and disclosure page."
"2026-06-12T01:33:00Z","site:agentsiteops.com AgentSiteOps","https://agentsiteops.com/reports/route-evidence-dashboard/","Route Evidence Dashboard | AgentSiteOps","evidence_page","no","external_search_result_returned","External web search returned the route evidence dashboard."
"2026-06-12T01:33:00Z","""agentsiteops.com""","https://agentsiteops.com/guides/indexnow-cloudflare-pages/","IndexNow on Cloudflare Pages | AgentSiteOps","guide_page","no","external_search_result_returned","External web search returned the IndexNow guide."
"2026-06-12T01:33:00Z","""agentsiteops.com""","https://agentsiteops.com/guides/ai-citation-grounding-metrics/","AI Citation and Grounding Metrics - AgentSiteOps","guide_page","no","external_search_result_returned","External web search returned the AI citation and grounding metrics guide."
"2026-06-12T05:29:00Z","site:agentsiteops.com AgentSiteOps Launch Kit","https://agentsiteops.com/","AgentSiteOps","home_page","no","external_search_result_returned","External web search returned the home page for a Launch Kit query. This does not confirm the Launch Kit URL itself and does not prove visits, clicks, replies, payment, usable intake, objections, or revenue."
"2026-06-12T05:29:00Z","site:agentsiteops.com AgentSiteOps Launch Kit","https://agentsiteops.com/reports/route-evidence-dashboard/","Route Evidence Dashboard | AgentSiteOps","evidence_page","no","external_search_result_returned","External web search returned the route evidence dashboard for a Launch Kit query. This is adjacent discoverability only."
"2026-06-12T05:29:00Z","site:agentsiteops.com ""Analytics summary"" ""AgentSiteOps""","https://agentsiteops.com/","AgentSiteOps","home_page","no","adjacent_external_search_result_returned","External web search did not confirm the analytics summary endpoint. The home page result is adjacent discoverability only and does not prove endpoint visits or demand."
"2026-06-12T07:45:00Z","agentsiteops.com","https://agentsiteops.com/","AgentSiteOps","home_page","no","external_search_result_returned","External web search returned the home page for a branded domain query. This is discoverability evidence only."
"2026-06-12T07:45:00Z","agentsiteops.com","https://agentsiteops.com/disclosure/","Disclosure - AgentSiteOps","trust_page","no","external_search_result_returned","External web search returned the disclosure page for a branded domain query."
"2026-06-12T07:45:00Z","AgentSiteOps","https://agentsiteops.com/examples/agentsiteops-self-audit/","AgentSiteOps Self-Audit Sample | AgentSiteOps","sample_page","no","external_search_result_returned","External web search returned the self-audit sample."
"2026-06-12T07:45:00Z","AgentSiteOps","https://agentsiteops.com/guides/ai-citation-grounding-metrics/","AI Citation and Grounding Metrics - AgentSiteOps","guide_page","no","external_search_result_returned","External web search returned the AI citation and grounding metrics guide."
"2026-06-12T07:45:00Z","AgentSiteOps","https://agentsiteops.com/reports/route-evidence-dashboard/","Route Evidence Dashboard | AgentSiteOps","evidence_page","no","external_search_result_returned","External web search returned the route evidence dashboard."
"2026-06-12T07:45:00Z","agentsiteops.com","https://agentsiteops.com/guides/indexnow-cloudflare-pages/","IndexNow on Cloudflare Pages | AgentSiteOps","guide_page","no","external_search_result_returned","External web search returned the IndexNow guide."
"2026-06-12T07:45:00Z","agentsiteops.com","https://agentsiteops.com/templates/evidence-ledger-template/","Evidence Ledger Template | AgentSiteOps","template_page","no","external_search_result_returned","External web search returned the evidence ledger template."
"2026-06-12T07:45:00Z","""AgentSiteOps"" ""Route Confidence Checker""","","","tool_page","no","not_confirmed","External web search did not confirm the Route Confidence Checker URL in this recheck. This means the tool remains pending direct search discovery."
